topology,traffic,vc_mode,vcs,queues,diameter,bisection,offered_rate,accepted_throughput,avg_latency,max_latency,avg_hops,bg_latency,hot_latency,bg_throughput,hot_throughput,m_generated,m_delivered,unretired,dropped_full,peak_queue,conservation_ok,saturated
ring,hotnode,baseline_vc2,2,1,8,2,0.0500,0.050453,9.3276,31,4.3189,9.2528,9.3953,0.023990,0.026464,2421,2421,0,0,2,1,0
ring,hotnode,baseline_vc2,2,1,8,2,0.0800,0.080932,9.9562,39,4.1894,9.6949,10.1802,0.037396,0.043536,3885,3885,0,0,3,1,0
ring,hotnode,baseline_vc2,2,1,8,2,0.1100,0.109677,10.9726,75,4.1765,10.6510,11.2521,0.050974,0.058703,5263,5263,0,0,3,1,0
ring,hotnode,baseline_vc2,2,1,8,2,0.1400,0.138953,13.1832,114,4.2767,12.5937,13.6811,0.063557,0.075396,6676,6676,0,0,7,1,0
ring,hotnode,baseline_vc2,2,1,8,2,0.1700,0.169927,19.4632,287,4.2564,17.6181,21.0569,0.078812,0.091115,8152,8152,0,0,19,1,0
ring,hotnode,baseline_vc2,2,1,8,2,0.2000,0.196833,174.7339,4344,4.2084,151.1415,195.3404,0.091870,0.104964,9592,9592,0,0,208,1,0
ring,hotnode,baseline_vc2,2,1,8,2,0.2400,0.216099,1074.1375,10316,4.2711,984.6886,1152.0544,0.101656,0.114443,11451,11451,0,0,617,1,1
ring,hotnode,baseline_vc2,2,1,8,2,0.2800,0.225609,2412.8334,13104,4.2850,2249.1267,2554.4085,0.105776,0.119833,13449,13449,0,0,769,1,1
ring,hotnode,baseline_vc2,2,1,8,2,0.3200,0.231266,3798.0870,16268,4.2650,3548.0409,4015.3571,0.110479,0.120786,15370,15370,0,0,948,1,1
ring,hotnode,baseline_vc2,2,1,8,2,0.3600,0.230401,5313.9180,18345,4.2361,4970.7993,5610.5101,0.110224,0.120177,17299,17283,0,16,1024,1,1
ring,hotnode,baseline_vc2,2,1,8,2,0.4000,0.232104,6619.7763,21117,4.2653,6136.3558,7042.2786,0.112224,0.119880,19218,18693,0,525,1024,1,1
ring,hotnode,baseline_vc2,2,1,8,2,0.4500,0.236625,7899.7969,23232,4.2845,7177.1329,8542.2864,0.118396,0.118229,21547,19973,0,1574,1024,1,1
ring,hotnode,baseline_vc2,2,1,8,2,0.5000,0.239651,8817.3358,24424,4.3034,8069.9433,9498.2467,0.121797,0.117854,24002,20410,0,3592,1024,1,1
ring,hotnode,baseline_vc2,2,1,8,2,0.5500,0.237635,9912.1185,26328,4.2850,9165.2948,10598.4916,0.118573,0.119063,26332,20745,0,5587,1024,1,1
ring,hotnode,baseline_vc2,2,1,8,2,0.6000,0.241615,10751.8182,27528,4.2842,9970.2660,11479.4848,0.121005,0.120609,28720,21566,0,7154,1024,1,1
ring,hotnode,baseline_vc2,2,1,8,2,0.7000,0.238937,11981.4067,29364,4.2959,11156.7594,12772.9537,0.119760,0.119177,33557,21484,0,12073,1024,1,1
ring,hotnode,baseline_vc2,2,1,8,2,0.8000,0.238979,12750.3539,30725,4.3021,11910.2236,13578.5777,0.118995,0.119984,38444,21018,0,17426,1024,1,1
mesh,hotnode,baseline_vc2,2,1,6,4,0.0200,0.019979,6.7299,13,2.5683,6.7783,6.6854,0.009583,0.010396,959,959,0,0,1,1,0
mesh,hotnode,baseline_vc2,2,1,6,4,0.0500,0.050438,7.0657,22,2.5547,6.9253,7.1929,0.023979,0.026458,2421,2421,0,0,1,1,0
mesh,hotnode,baseline_vc2,2,1,6,4,0.0800,0.080927,7.4880,30,2.5598,7.1428,7.7839,0.037385,0.043542,3885,3885,0,0,2,1,0
mesh,hotnode,baseline_vc2,2,1,6,4,0.1100,0.109693,7.9354,85,2.5109,7.1778,8.5938,0.051010,0.058682,5263,5263,0,0,2,1,0
mesh,hotnode,baseline_vc2,2,1,6,4,0.1400,0.139000,8.6311,99,2.5448,7.4076,9.6645,0.063646,0.075354,6676,6676,0,0,2,1,0
mesh,hotnode,baseline_vc2,2,1,6,4,0.1700,0.169661,10.4664,205,2.5213,8.0585,12.5462,0.078620,0.091042,8152,8152,0,0,11,1,0
mesh,hotnode,baseline_vc2,2,1,6,4,0.2000,0.199573,23.0891,1404,2.5353,18.9103,26.7391,0.093063,0.106510,9592,9592,0,0,69,1,0
mesh,hotnode,baseline_vc2,2,1,6,4,0.2400,0.222047,625.5496,12579,2.5496,573.9880,670.4639,0.103891,0.118156,11451,11451,0,0,711,1,1
mesh,hotnode,baseline_vc2,2,1,6,4,0.2800,0.242422,1403.8127,14608,2.5328,1237.7784,1547.4006,0.113953,0.128469,13449,13449,0,0,974,1,1
