topology,traffic,avg_hops,peak_channel_load,lam_channel,lam_eject,lam_classical_bisection,lam_star_model,zero_load_latency_model,zero_load_latency_measured,lam_achieved_measured,efficiency
ring,uniform,4.267,2.400,0.417,4.000,0.469,0.417,7.27,8.57,0.28,0.672
ring,hotnode,4.267,4.200,0.238,0.938,0.469,0.238,7.27,8.56,0.20,0.840
mesh,uniform,2.667,1.067,0.938,4.000,0.938,0.938,5.67,6.88,0.70,0.747
mesh,hotnode,2.533,4.533,0.221,0.938,0.938,0.221,5.53,6.73,0.20,0.907
torus,uniform,2.133,0.800,1.250,4.000,1.875,1.250,5.13,6.27,0.80,0.640
torus,hotnode,2.133,3.400,0.294,0.938,1.875,0.294,5.13,6.26,0.28,0.952
